360	Какие качества нравятся в человеке?	148
361	Сколько алкоголя можешь выпить?	179
362	Твое отношение к гороскопу?	200
363	Какую самую большую шалость ты совершил в детстве и как тебя за нее наказали?	49
364	Вам нравится удивлять друг друга и делать взаимные сюрпризы? Как часто вы это делаете?	172
365	Чему хочешь научиться больше всего?	53
366	Какая книга повлияла на тебя больше всего?	152
367	Почему мы с тобой дружим?	73
368	Что выводит тебя из себя?	164
369	Какой есть талисман?	91
370	Вы бы предпочли никогда не целовать своего партнера до дня свадьбы или после свадьбы?	131
371	Что самое лучшее и самое худшее в нашей стране?	150
372	Ваша любимая историческая личность?	158
373	Можно ли успеть рассказать другим о своей жизни за 3 минуты?	102
374	Как вы привыкли подготавливаться ко сну?	111
375	Расскажи какую-нибудь семейную байку.	36
376	Что больше всего ценишь в людях?	5
377	Кто из ваших друзей может стать проституткой или жиголо?	109
378	Когда последний раз дрался и чем это закончилось?	125
379	Что, по твоему мнению, нужно для успеха в жизни?	87
380	Ты чувствуешь себя на свой возраст или нет?	26
381	Суши или пицца?	196
382	Когда был адреналин на максимуме?	189
383	Если умрешь через год, что будешь делать в оставшееся время?	80
384	Как найти в себе силы и решимость осуществить свою мечту?	143
385	Кто сформировал твои взгляды на политику? Как выглядит для тебя идеальный день? 	147
386	Что такое счастье в твоем понимании?	124
387	У тебя есть чувство юмора?	10
388	Любишь своих родителей?	64
389	Вы против или нет, если ваш партнёр станет дружить и часто общаться с вашими друзьями?	46
390	Ваши родители были заботливыми людьми или им часто не было до вас дела?	158
391	Самая безумная совершенная вещь?	86
392	Где вы познакомились?	178
393	Лучше все просчитывать или импровизировать?	121
394	Какие вещи о вас должны знать другие люди, не ваши друзья и близкие?	119
395	В случае пожара, какие три вещи вы спасете в первую очередь, не считая документов и людей?	184
396	Ты что-нибудь коллекционируешь?	81
397	Есть ли у тебя любимое растение?	96
398	Какую музыку ты сейчас слушаешь?	169
399	Кто первым попытался доить корову?	161
400	Самый любимый предмет в школе или университете?	200
401	Самая смешная шутка, что ты слышал (-а)?	141
402	Что люди о тебе не знают?	45
403	Как вы себя оцениваете и каково ваше мнение о себе? Как оно соотносится с тем, как вас видят друзья и семьи вашей компании?	63
404	Какими мы будем через 5 или 10 лет?	178
405	Если ли люди, которые вызывают у тебя искреннюю благодарность? 	131
406	Когда последний раз хорошо отрывался?	164
407	Что тебе больше всего нравится в твоей работе? 	100
